Food_Name,Category_ID,Raw_Weight_g,Cooking_Method,Fat_Added_tbsp,Raw_Calories,Raw_Fat_g,Target_Final_Weight_g,Target_Final_Calories
"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",18,100,Roast,1,309,0,96.8,405.3
"Udi's, Gluten Free, Whole Grain Dinner Rolls",18,100,Roast,0,329,0,81.8,337.4
"Van's, Gluten Free, Totally Original Pancakes",18,100,Roast,2,215,0,110.4,472.7
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",11,100,Boil,0,259,0,101.3,248.5
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",11,100,Roast,1,31,0,90.3,140.1
"Potatoes, hash brown, refrigerated, unprepared",11,100,Steam,0,84,0,100.1,70.9
"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",11,100,Boil,0,242,0,103.8,250.3
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",11,100,Steam,0,182,0,104.6,190.2
"Moose, meat, raw (Alaska Native)",24,100,Boil,0,103,0,102.2,100.2
"Mashu roots, raw (Alaska Native)",24,100,Roast,1,135,0,96.5,258.5
"Moose, liver, braised (Alaska Native)",24,100,Boil,0,155,0,100.7,131.6
"Seal, bearded (Oogruk), meat, raw (Alaska Native)",24,100,Roast,2,110,0,107,349.8
"Oil, bearded seal (Oogruk) (Alaska Native)",24,100,Fry,0,899,0,88.3,836.3
"Oopah (tunicate), whole animal (Alaska Native)",24,100,Roast,1,67,0,91.8,185.3
"Owl, horned, flesh, raw (Alaska Native)",24,100,Fry,1,136,0,96.3,272.2
"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",24,100,Boil,0,150,0,107.1,141.2
"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",24,100,Roast,1,430,0,97.6,526.3
"Fish, salmon, king, chinook, liver (Alaska Native)",24,100,Boil,0,156,0,102.3,154.5
"Duck, scoter, white-winged, meat (Alaska Native)",24,100,Roast,2,84,0,110.5,309
"Sea cucumber, yane (Alaska Native)",24,100,Boil,0,56,0,108.2,49.7
"Squirrel, ground, meat (Alaska Native)",24,100,Boil,0,111,0,108.9,98.1
"Tea, tundra, herb and laborador combination (Alaska Native)",24,100,Roast,1,1,0,93.1,117.3
"Walrus, meat, dried (Alaska Native)",24,100,Roast,1,251,0,94.3,350.6
"Deer (venison), sitka, raw (Alaska Native)",24,100,Steam,0,116,0,97.8,107.5
"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",24,100,Boil,0,870,0,108.8,779.5
"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",24,100,Roast,0,465,0,83.6,412.7
"Oil, whale, bowhead (Alaska Native)",24,100,Fry,1,900,0,96.6,1051.3
"Fish, whitefish, broad, liver (Alaska Native)",24,100,Steam,0,104,0,95.8,96.2
"Mush, blue corn with ash (Navajo)",24,100,Boil,0,54,0,101.5,49.1
"Cornmeal, blue (Navajo)",24,100,Fry,2,398,0,117,615.3
"Melon, banana (Navajo)",24,100,Roast,0,21,0,80.1,19
Chilchen (Red Berry Beverage) (Navajo),24,100,Steam,0,44,0,100.9,39.5
"Corn, dried (Navajo)",24,100,Steam,0,386,0,103.3,354.5
"Squash, Indian, cooked, boiled (Navajo)",24,100,Roast,0,16,0,79.5,15.1
"Bread, kneel down (Navajo)",24,100,Roast,2,195,0,110.5,412.6
"Mutton, cooked, roasted (Navajo)",24,100,Fry,1,234,0,98.9,385.4
"Frybread, made with lard (Navajo)",24,100,Steam,0,330,0,100.2,336
Tamales (Navajo),24,100,Boil,0,153,0,106.7,151.8
"Stew, steamed corn (Navajo)",24,100,Fry,2,112,0,109.4,320.9
"Fish, halibut, raw, with skin (Alaska Native)",24,100,Steam,0,116,0,96.1,111.2
"Fish, salmon, coho (silver), raw (Alaska Native)",24,100,Steam,0,140,0,101.5,139.3
"Blueberries, wild, raw (Alaska Native)",24,100,Fry,0,61,0,85.9,59.9
"Oil, spotted seal (Alaska Native)",24,100,Fry,0,894,0,85.3,748
"Fish, salmon, red, canned, bones removed (Alaska Native)",24,100,Steam,0,161,0,105,152.2
"Fish, whitefish, eggs (Alaska Native)",24,100,Fry,2,104,0,107.8,370
"Caribou, rump meat, half dried (Alaska Native)",24,100,Boil,0,255,0,100.8,220.7
"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",24,100,Roast,2,206,0,105.9,498.6
"Fish, salmon, red, (sockeye), kippered (Alaska Native)",24,100,Roast,0,141,0,81.4,134.3
"Fish, salmon, king, with skin, kippered, (Alaska Native)",24,100,Roast,1,209,0,95.9,348.1
"Fish, sheefish, raw (Alaska Native)",24,100,Fry,1,115,0,94.3,215.7
"Buffalo, free range, top round steak, raw (Shoshone Bannock)",24,100,Steam,0,97,0,99.6,82.3
"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",24,100,Roast,1,270,0,96.1,389.1
"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",24,100,Boil,0,146,0,102.4,147.6
"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",24,100,Steam,0,98,0,99.8,94
"Corn, dried, yellow (Northern Plains Indians)",24,100,Boil,0,419,0,107.9,368.7
"Smelt, dried (Alaska Native)",24,100,Roast,2,386,0,103.3,679.1
"Frybread, made with lard (Apache)",24,100,Boil,0,309,0,102.1,294.6
Corned beef and potatoes in tortilla (Apache),24,100,Boil,0,224,0,103.6,213.3
"ON THE BORDER, soft taco with ground beef, cheese and lettuce",25,100,Boil,0,229,0,110.2,240.4
"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",25,100,Fry,2,219,0,113.9,435.3
"Restaurant, Latino, chicken and rice, entree, prepared",25,100,Boil,0,174,0,109.8,149
"Restaurant, Latino, empanadas, beef, prepared",25,100,Roast,1,335,0,90.3,486.8
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25,100,Steam,0,229,0,99.4,237
"Restaurant, Latino, pupusas con queso (pupusas, cheese)",25,100,Roast,1,256,0,90.7,379.7
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",25,100,Fry,2,232,0,110.6,505.4
"Restaurant, Latino, tamale, corn",25,100,Roast,2,186,0,110.4,441.4
"Restaurant, Mexican, spanish rice",25,100,Fry,0,185,0,84.4,171
"Restaurant, Mexican, refried beans",25,100,Roast,1,156,0,92,254.7
"Restaurant, Chinese, egg rolls, assorted",25,100,Roast,2,250,0,106.6,511.9
"Restaurant, Chinese, fried rice, without meat",25,100,Boil,0,174,0,108,182.1
"CRACKER BARREL, steak fries",25,100,Fry,0,255,0,87.8,263.3
"CRACKER BARREL, grilled sirloin steak",25,100,Steam,0,203,0,100.5,208.1
"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",25,100,Roast,1,192,0,92.9,329
"DENNY'S, french fries",25,100,Steam,0,282,0,97.6,273.9
"DENNY'S, top sirloin steak",25,100,Roast,2,182,0,113.3,467.2
"Restaurant, Chinese, lemon chicken",25,100,Boil,0,252,0,109.3,248.7
"Restaurant, Chinese, general tso's chicken",25,100,Fry,1,295,0,99,425.7
"Restaurant, Chinese, kung pao chicken",25,100,Roast,0,129,0,82.6,112.4
"Restaurant, Chinese, vegetable lo mein, without meat",25,100,Roast,1,121,0,90.5,230.8
"Restaurant, Chinese, chicken and vegetables",25,100,Fry,2,95,0,107.6,322.5
"Restaurant, Chinese, orange chicken",25,100,Fry,2,262,0,108.8,548
"Restaurant, Italian, spaghetti with meat sauce",25,100,Roast,0,121,0,79.2,103.1
"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",14,100,Steam,0,218,0,104.3,205.7
"Pectin, liquid",19,100,Steam,0,11,0,98.5,9.6
"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",19,100,Boil,0,221,0,108.9,233.4
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",4,100,Boil,0,160,0,108.9,135.8
"Bologna, beef and pork, low fat",7,100,Fry,0,230,0,86.7,216
"Milk dessert, frozen, milk-fat free, chocolate",19,100,Steam,0,167,0,98.6,167.4
"Whipped topping, frozen, low fat",1,100,Boil,0,224,0,102.6,234.2
"Cream substitute, powdered, light",1,100,Steam,0,431,0,98.2,392.1
"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",19,100,Steam,0,529,0,97.7,459.9
"Babyfood, apple yogurt dessert, strained",3,100,Boil,0,93,0,109.6,83.2
"Vegetable oil-butter spread, reduced calorie",4,100,Boil,0,465,0,105.6,434.7
"Salad dressing, blue or roquefort cheese dressing, light",4,100,Roast,2,86,0,103.5,348.1
"Salad dressing, french dressing, reduced calorie",4,100,Roast,1,227,0,95.6,369.5
"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",7,100,Fry,2,307,0,109.3,538.8
"Mayonnaise, made with tofu",4,100,Roast,2,322,0,105.3,514.7
"Frankfurter, beef, low fat",7,100,Roast,0,140,0,76.2,124.2
"Milk, buttermilk, fluid, cultured, reduced fat",1,100,Boil,0,56,0,103.2,48.4
"Pork sausage rice links, brown and serve, cooked",7,100,Roast,2,407,0,110.8,575.3
"Salad dressing, blue or roquefort cheese dressing, fat-free",4,100,Boil,0,115,0,102.8,104.1
"Salad Dressing, mayonnaise-like, fat-free",4,100,Fry,0,84,0,83.1,76.2
"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",19,100,Steam,0,443,0,99.2,392.4
"Oil, flaxseed, cold pressed",4,100,Steam,0,884,0,98.2,858.2
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1,100,Boil,0,74,0,108.1,71.8
"Salad dressing, bacon and tomato",4,100,Fry,1,326,0,99.3,398.8
"Cheese, parmesan, low sodium",1,100,Boil,0,451,0,105.9,430.8
"Jams, preserves, marmalade, reduced sugar",19,100,Boil,0,151,0,105.5,158.4
"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",14,100,Boil,0,227,0,100.3,212.3
"Tomato and vegetable juice, low sodium",11,100,Steam,0,22,0,103.7,20.3
"Turkey, wing, smoked, cooked, with skin, bone removed",5,100,Steam,0,221,0,102.4,216.9
"Turkey, drumstick, smoked, cooked, with skin, bone removed",5,100,Steam,0,200,0,101.4,212.7
"Beverages, Chocolate-flavored drink, whey and milk based",14,100,Boil,0,49,0,102.6,51.9
"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",10,100,Fry,0,541,0,85.9,480.4
"Turkey, light or dark meat, smoked, cooked, skin and bone removed",5,100,Steam,0,162,0,102.2,144.3
"Hearts of palm, raw",11,100,Roast,0,115,0,80.6,112.5
"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",8,100,Boil,0,339,0,102.4,357.6
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",1,100,Boil,0,67,0,104.4,60.9
Yeast extract spread,11,100,Boil,0,185,0,104.9,176.3
"Babyfood, juice, pear",3,100,Fry,2,43,0,115.3,299.5
"Chicken, meatless, breaded, fried",16,100,Fry,2,234,0,107.9,496.7
"Babyfood, meat, beef with vegetables, toddler",3,100,Boil,0,69,0,99.8,63.3
"Frozen novelties, juice type, juice with cream",19,100,Fry,0,115,0,86.9,104.6
Tofu yogurt,16,100,Steam,0,94,0,97.3,99.4
"Alcoholic beverage, rice (sake)",14,100,Roast,1,134,0,96.3,266.7
"Millet, puffed",8,100,Steam,0,354,0,103.9,352
"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",8,100,Steam,0,380,0,95.8,366.1
"Babyfood, mixed fruit yogurt, strained",3,100,Boil,0,75,0,105.8,74.6
"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",14,100,Fry,2,141,0,115.8,407
"Babyfood, rice and apples, dry",3,100,Roast,2,396,0,106.6,561.9
"Babyfood, juice, apple - cherry",3,100,Roast,0,47,0,81,48.1
"Milk, imitation, non-soy",1,100,Steam,0,46,0,104.9,47.5
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",3,100,Roast,1,389,0,95.4,512.1
"Babyfood, banana no tapioca, strained",3,100,Roast,1,91,0,93.8,202.8
"Babyfood, banana apple dessert, strained",3,100,Fry,2,68,0,111,305.9
"Breakfast bar, corn flake crust with fruit",23,100,Roast,1,376,0,93.4,472.3
"Cheese, mozzarella, low sodium",1,100,Steam,0,280,0,101.1,264.7
"Mayonnaise dressing, no cholesterol",4,100,Steam,0,688,0,101.3,605.7
"Oil, corn, peanut, and olive",4,100,Boil,0,884,0,101.4,810.8
"Pie fillings, blueberry, canned",19,100,Fry,2,181,0,111,426
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",14,100,Roast,0,287,0,77.1,250
"Puddings, chocolate flavor, low calorie, regular, dry mix",19,100,Boil,0,365,0,109.7,381.6
"Puddings, all flavors except chocolate, low calorie, regular, dry mix",19,100,Fry,0,351,0,82.9,353.2
"Mollusks, scallop, (bay and sea), cooked, steamed",15,100,Roast,0,111,0,84,110
"Syrup, Cane",19,100,Boil,0,269,0,103.2,285.4
"Mollusks, snail, raw",15,100,Roast,1,90,0,98.2,216.3
"Turtle, green, raw",15,100,Steam,0,89,0,97.1,94.4
"Lemons, raw, without peel",9,100,Boil,0,29,0,109.7,29.6
"Lemon juice, raw",9,100,Fry,0,22,0,82.3,20.1
"Lemon juice from concentrate, canned or bottled",9,100,Roast,2,17,0,108.1,292.3
"Lemon peel, raw",9,100,Boil,0,47,0,108.2,44.2
"Prickly pears, raw",9,100,Fry,1,41,0,99,165.5
"Plums, dried (prunes), stewed, without added sugar",9,100,Fry,1,107,0,103.5,235.2
"Plums, dried (prunes), stewed, with added sugar",9,100,Fry,1,124,0,99.8,270.8
"Prune juice, canned",9,100,Roast,0,71,0,83.4,73.5
"Pummelo, raw",9,100,Roast,1,38,0,94,177.6
"Raspberries, raw",9,100,Boil,0,52,0,108.1,55.1
"Raspberries, canned, red, heavy syrup pack, solids and liquids",9,100,Boil,0,91,0,107.9,85.6
"Raspberries, frozen, red, sweetened",9,100,Boil,0,103,0,100.5,108.4
"Rhubarb, raw",9,100,Roast,0,21,0,81.2,20.1
"Sapodilla, raw",9,100,Fry,1,83,0,97.9,209.7
"Sapote, mamey, raw",9,100,Fry,1,124,0,100.1,260.5
"Soursop, raw",9,100,Boil,0,66,0,101.2,68.1
"Strawberries, raw",9,100,Boil,0,32,0,109.9,28.9
"Tamarinds, raw",9,100,Boil,0,239,0,107.6,247.8
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",9,100,Boil,0,86,0,106.3,80.2
"Watermelon, raw",9,100,Roast,2,30,0,110.8,313.5
"Maraschino cherries, canned, drained",9,100,Boil,0,165,0,107.7,152.6
"Pineapple, canned, juice pack, drained",9,100,Fry,1,60,0,102.2,170.3
"Apricots, canned, heavy syrup, drained",9,100,Roast,1,83,0,89.6,211.8
"Cherries, sour, canned, water pack, drained",9,100,Roast,0,42,0,78.7,40.8
"Cherries, sweet, canned, pitted, heavy syrup, drained",9,100,Fry,2,83,0,116.1,348.6
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",9,100,Roast,2,46,0,111.4,274.2
"Applesauce, canned, unsweetened, with added ascorbic acid",9,100,Boil,0,42,0,104.3,37.7
"Applesauce, canned, sweetened, with salt",9,100,Boil,0,76,0,102.8,80.8
"Grapefruit juice, pink, raw",9,100,Boil,0,39,0,100.6,37.9
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",9,100,Boil,0,47,0,106.2,48.3
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9,100,Roast,1,63,0,95.2,173
"Pears, raw, red anjou",9,100,Roast,0,62,0,82.3,64.6
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",9,100,Roast,1,67,0,92.6,207.5
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",9,100,Fry,2,66,0,110.8,278.7
Prune puree,9,100,Fry,2,257,0,107.4,450.5
Candied fruit,9,100,Boil,0,322,0,102.2,311.9
"Abiyuch, raw",9,100,Fry,1,69,0,98.5,200.7
"Rowal, raw",9,100,Roast,0,111,0,83.4,106
"Guava nectar, canned, with added ascorbic acid",9,100,Boil,0,63,0,109.1,63.6
"Mango nectar, canned",9,100,Boil,0,51,0,106.8,44
"Tamarind nectar, canned",9,100,Boil,0,57,0,100.1,51.7
"Pomegranate juice, bottled",9,100,Fry,1,54,0,96.5,172.1
"Nance, canned, syrup, drained",9,100,Fry,0,95,0,84.8,91.7
"Nance, frozen, unsweetened",9,100,Fry,2,73,0,110.8,301.4
"Naranjilla (lulo) pulp, frozen, unsweetened",9,100,Fry,0,25,0,86.1,26.5
Horned melon (Kiwano),9,100,Boil,0,44,0,106.6,44.8
Orange Pineapple Juice Blend,9,100,Roast,1,51,0,94.7,187.8
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",9,100,Boil,0,63,0,100.1,61.1
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",9,100,Fry,0,49,0,88.3,45.1
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",9,100,Boil,0,63,0,107.2,65
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",9,100,Boil,0,53,0,102.6,47.5
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",9,100,Boil,0,46,0,108.6,47.3
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",9,100,Fry,2,56,0,115.9,273.1
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",9,100,Roast,0,52,0,82.8,54.4
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",9,100,Boil,0,48,0,104.3,45.7
"Lemon juice from concentrate, bottled, CONCORD",9,100,Fry,1,24,0,99.6,157.7
"Lemon juice from concentrate, bottled, REAL LEMON",9,100,Boil,0,17,0,103.5,16.6
"Cranberry sauce, whole, canned, OCEAN SPRAY",9,100,Fry,1,158,0,101.4,282.4
"Cranberry sauce, jellied, canned, OCEAN SPRAY",9,100,Fry,2,160,0,116.8,442.9
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",9,100,Fry,2,44,0,117.9,273.5
Baobab powder,9,100,Boil,0,250,0,103.5,211
"Cherry juice, tart",9,100,Roast,2,59,0,111.8,319.9
"Raspberries, puree, seedless",9,100,Boil,0,41,0,101.7,35.6
"Raspberries, puree, with seeds",9,100,Boil,0,55,0,103,48.9
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",10,100,Roast,2,211,0,105.1,464.6
"Pork, fresh, backfat, raw",10,100,Fry,2,812,0,115.2,1006.7
"Pork, fresh, belly, raw",10,100,Roast,0,518,0,80.5,457.4
"Pork, fresh, separable fat, raw",10,100,Boil,0,632,0,101.4,540
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",10,100,Roast,2,182,0,107,416.2
"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",10,100,Boil,0,209,0,102,197.1
"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",10,100,Roast,1,120,0,90.6,268.8
"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",10,100,Fry,1,165,0,94.7,281.3
"Pork, fresh, loin, whole, separable lean and fat, raw",10,100,Boil,0,198,0,107,204.5
"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",10,100,Boil,0,239,0,106.5,221.2
"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",10,100,Roast,1,242,0,95.3,329.8
"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",10,100,Fry,1,248,0,99.1,397.4
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",10,100,Boil,0,194,0,107.7,205.4
